kb-tmap (TMAP KB국민카드, 연회비 15000, active)
kb-sk-energy-loveyou (SK에너지 러브유 KB국민카드, 연회비 7000, active)
kb-e1-lpg (E1 LPG KB국민카드, 연회비 15000, active)
kb-you-prime (KB국민 YOU Prime 카드, 연회비 30000, active)
kb-woongjin-thinkbig (KB국민 웅진씽크빅 카드, 연회비 15000, active)
kb-milkt (KB국민 밀크T 카드, 연회비 15000, active)
kb-visang-onlyone (KB국민 비상온리원 카드, 연회비 15000, active)
kb-you-with (KB국민 YOU With 카드, 연회비 15000, active)
shinhan-the-classic-v (신한카드 The CLASSIC-V, 연회비 197000, active)
shinhan-the-classic-y (신한카드 The CLASSIC-Y, 연회비 100000, active)
shinhan-the-classic-neo (신한카드 The CLASSIC NEO, 연회비 117000, active)
samsung-the1-sfc-skypass (삼성카드 THE 1 SFC (스카이패스), 연회비 245000, active)
samsung-the-id-1st (삼성카드 THE iD. 1st, 연회비 150000, active)
samsung-the-id-platinum-point (삼성카드 THE iD. PLATINUM(포인트), 연회비 215000, active)
hana-jade-classic (하나카드 JADE Classic, 연회비 115000, active)
lotte-loca-platinum-discount (롯데카드 LOCA PLATINUM 할인형, 연회비 100000, active)
woori-royal-blue-point (우리카드 ROYAL BLUE POINT, 연회비 300000, active)
kb-gaon-platinum-voucher (KB국민 가온 플래티늄바우처카드, 연회비 100000, active)
nh-classy-travel (NH농협카드 클래시 트래블카드, 연회비 120000, active)
nh-on-platinum-point (NH농협카드 ON PLATINUM카드(포인트형), 연회비 118000, active)
lotte-loca-money (롯데카드 LOCA MONEY, 연회비 20000, active)
lotte-digiroca-auto (롯데카드 디지로카 Auto, 연회비 30000, active)
lotte-loca-lite (롯데카드 LOCA Lite, 연회비 1000, active)
lotte-digiroca-london (롯데카드 디지로카 London, 연회비 20000, active)
bc-baro-onoff (BC 바로 On&Off, 연회비 5000, active)
bc-baro-air-plus-skypass (BC 바로 에어 플러스 스카이패스, 연회비 19000, discontinued)
bc-baro-macao (BC 바로 MACAO, 연회비 12000, active)
bc-baro-green-card (BC 바로 그린카드(전국), 연회비 0, active)
hana-multi-any (하나카드 MULTI Any, 연회비 12000, active)
hana-oneq (하나카드 하나원큐카드, 연회비 15000, active)
hana-wonder-daily (하나카드 원더카드(원더 DAILY), 연회비 19900, active)
hana-1q-shopping-plus (하나카드 1Q Shopping+, 연회비 10000, active)
woori-shopping-plus (우리카드 카드의정석 SHOPPING+, 연회비 10000, active)
woori-every-1 (우리카드 카드의정석 EVERY 1, 연회비 12000, discontinued)
woori-everyday-check (우리카드 카드의정석 EVERYDAY CHECK, 연회비 12000, active)
nh-chaeum-kpass-check (NH농협카드 채움 K-패스카드(체크), 연회비 0, active)
nh-zgm-shopping (NH농협 zgm shopping, 연회비 50000, active)
shinhan-kpass-check (신한카드 K-패스 체크카드, 연회비 0, active)
shinhan-kpass (신한카드 K-패스, 연회비 7000, active)
kb-kpass-check (KB국민 K-패스체크카드, 연회비 0, active)
kb-kpass (KB국민 K-패스카드, 연회비 8000, active)
kb-nori2-kbpay (KB국민 노리2 체크카드(KB Pay), 연회비 0, active)
woori-jeongseok-ohacheck (우리카드 카드의정석 오하CHECK, 연회비 0, active)
hyundai-musinsa (무신사 현대카드, 연회비 10000, active)
naverpay-money-hana-check (네이버페이 머니 하나 체크카드, 연회비 0, active)
shinhan-deep-on-platinum-plus (신한카드 Deep On Platinum+, 연회비 30000, active)
shinhan-the-best-f (신한카드 The BEST-F (마일리지형), 연회비 222000, discontinued)
shinhan-the-best-xo (신한카드 The BEST-XO (스카이패스형), 연회비 317000, active)
kb-heritage-smart-mileage (KB국민 HERITAGE Smart (대한항공 마일리지형), 연회비 200000, active)
kb-heritage-classic-skypass (KB국민 HERITAGE Classic (스카이패스형), 연회비 157000, active)
kb-skypass-titanium (KB국민 스카이패스 티타늄카드, 연회비 45000, active)
hyundai-the-purple-mileage (현대카드 the Purple(마일리지형), 연회비 1000000, active)
lotte-skypass-platinum (롯데카드 SKYPASS 롯데 플래티넘 카드, 연회비 120000, active)
lotte-digiloca-skypass (롯데카드 디지로카 스카이패스, 연회비 20000, active)
samsung-special-mileage-skypass (삼성카드 스페셜마일리지 (스카이패스), 연회비 97000, active)
samsung-shinsegae-the-mileage (신세계 더 마일리지 삼성카드 (스카이패스), 연회비 45000, active)
hana-skypass-amex-platinum (하나 스카이패스 아멕스 플래티늄 카드, 연회비 45000, active)
hana-clubh-amex-reserve (하나 CLUB H 아메리칸 익스프레스 리저브 카드, 연회비 150000, active)
woori-jeongseok-premium-mileage-koreanair (우리카드 카드의 정석 프리미엄 마일리지(대한항공), 연회비 135000, active)
woori-royal-blue-mileage-skypass (우리카드 ROYAL BLUE MILEAGE (SKYPASS), 연회비 330000, active)
nh-chaeum-titanium-skypass (NH농협카드 채움 티타늄 스카이패스카드, 연회비 30000, active)
nh-chaeum-platinum-skypass (NH농협카드 채움 플래티늄 스카이패스카드, 연회비 130000, active)
bc-baro-air-master (BC 바로 에어 마스터, 연회비 29000, active)
bc-baro-air-max (BC 바로 에어 맥스, 연회비 43000, active)
hyundai-koreanair-120 (현대카드 대한항공카드 120 (Edition2), 연회비 120000, active)
hyundai-koreanair-300 (현대카드 대한항공카드 300 (Edition2), 연회비 300000, active)
hyundai-koreanair-the-first-edition2 (현대카드 대한항공카드 the First Edition2, 연회비 800000, active)
